session_id,timestamp,game_id,hand_num,street,hero_cards,board,hero_position,pot_size,amount_to_call,stack,equity_pct,pot_odds_pct,ev_pct,decision,opp_vpip,opp_pfr,opp_af,result_dollars,result_bb,showdown_seen,stack_start,stack_end
b4887478,2026-06-08T21:41:17,720518d5d97c54122666ed5c9b0168,1,RIVER,4s 6c,7h Kd 6c 3c 9c,CO,100.0,0.0,59950,35.6,0.0,,Fold,,,,,,,,
b4887478,2026-06-08T21:41:20,,2,FLOP,4s 6c,Ts Qh Jc,CO,100.0,0.0,59950,13.55,0.0,,Check,,,,,,,,
b4887478,2026-06-08T21:41:27,,2,TURN,4s 6c,Ts Qh Jc Kc,CO,100.0,0.0,59950,13.4,0.0,,Check,,,,,,,,
b4887478,2026-06-08T21:41:39,79cb7d178060079e69a4e6c3a33304,3,RIVER,7d 8c,Ts Qh Jc Kc 9d,UTG,125.0,25.0,510025,41.75,16.67,25.08,Call,,,,,,,,
b4887478,2026-06-08T21:41:54,,4,RIVER,7d 8c,Ts Qh Jc Kc 9d,UTG,550.0,200.0,510000,40.55,26.67,13.88,Fold,,,,,,,,
b4887478,2026-06-08T21:41:56,,4,PREFLOP,7d 8c,,UTG,750.0,200.0,59800,0.0,21.05,-21.05,Fold,,,,,,,,
b4887478,2026-06-08T21:41:57,,4,FLOP,7d 8c,Js Qs 5h,UTG,750.0,200.0,59800,21.26,21.05,0.21,Call,,,,,,,,
b4887478,2026-06-08T21:42:31,e372fdb50c76c175044f99e9c13839,5,RIVER,Th Ts,Js Qs 5h Qh 8d,BTN,575.0,50.0,59800,68.95,8.0,60.95,Raise_Pot,,,,,,,,
b4887478,2026-06-08T21:42:48,,6,FLOP,Th Ts,6h Ac 2d,BTN,150.0,50.0,59750,70.4,25.0,45.4,Call,,,,,,,,
b4887478,2026-06-08T21:42:53,,6,TURN,Th Ts,6h Ac 2d 3h,BTN,150.0,50.0,59750,69.6,25.0,44.6,Raise_Half,,,,,,,,
b4887478,2026-06-08T21:43:00,,6,RIVER,Th Ts,6h Ac 2d 3h 5c,BTN,400.0,250.0,59750,63.6,38.46,25.14,Raise_Half,,,,,,,,
b4887478,2026-06-08T21:43:17,,6,FLOP,Kc Kh,4d 5c Qc,CO,100.0,250.0,59450,79.15,71.43,7.72,Call,,,,,,,,
b4887478,2026-06-08T21:43:22,,6,TURN,Kc Kh,4d 5c Qc 2s,CO,100.0,250.0,59450,78.7,71.43,7.27,Call,,,,,,,,
b4887478,2026-06-08T21:43:32,,6,RIVER,Kc Kh,4d 5c Qc 2s 3h,CO,300.0,200.0,59450,58.5,40.0,18.5,Call,,,,,,,,
b4887478,2026-06-08T21:43:41,ef90dUc952347e98113a39a6a305bc,7,RIVER,Kd 7s,4d 5c Qc 2s 3h,UTG,125.0,25.0,59225,13.26,16.67,-3.41,Fold,,,,,,,,
b4887478,2026-06-08T21:43:44,,8,RIVER,Kd 7s,4d 5c Qc 2s 3h,UTG,150.0,25.0,59200,13.11,14.29,-1.18,Fold,,,,,,,,
b4887478,2026-06-08T21:43:45,,8,PREFLOP,Kd 7s,,UTG,150.0,25.0,59200,0.0,14.29,-14.29,Fold,,,,,,,,
